id,name,cuisine,price_range,avg_price_per_person,region,city,address,phone,rating,review_count,website,popular_hours
1,Fasano,Brazilian,$$,13.71,South America,"Port Jesse, SC",3756 Tyler Road Suite 352,768.892.9169,4.4,591,https://juarez-bond.com/,13:00-22:00
2,Indian Accent,Indian,$,3.99,Middle East,"Laurieview, SL",9046 Owens Mountain Apt. 794,(625)868-2932x981,3.5,216,https://blake.com/,16:00-20:00
3,Mingles,Korean,$$,21.37,North America,"South Ericchester, AZ",75789 Sullivan Pike,419-509-7900,4.4,531,https://shaw.com/,13:00-22:00
4,Varoulko Seaside,Greek,$$,21.16,Middle East,"Tinaberg, TR",51375 Andrew Parkway,497-627-1996x176,4.5,540,https://clark.info/,11:00-20:00
5,Claro,Mediterranean,$$$,59.75,North America,"Lake David, WV",8778 Hamilton Center Apt. 774,788.395.6144x97312,4.7,395,http://www.gutierrez.org/,16:00-22:00
6,Yan Toh Heen,Chinese,$,5.61,Asia,"East Kimberlystad, PA",9627 Tonya Place Suite 027,+1-375-599-0967,4.6,263,http://www.griffin-hill.biz/,14:00-20:00
7,SingleThread,American,$$$,38.79,South America,"Lake Mercedes, RO",66029 Cynthia Fall,252.582.8001x8878,4.4,360,http://www.clark.com/,16:00-20:00
8,Nopi,Mediterranean,$$$,35.15,Asia,"Port Kyleland, GR",028 Fowler Centers,001-670-460-7139,4.2,367,https://klein.com/,14:00-23:00
9,Hytra,Greek,$$,22.47,Middle East,"Port Corey, SM",894 Cody Spurs Suite 970,(332)300-7938,3.8,465,https://www.roman-estrada.com/,12:00-21:00
10,L'Arpège,French,$$$$,233.63,Europe,"East Gregory, CU",17045 Carr Prairie,(693)884-6862x49397,4.4,180,http://www.hernandez.com/,11:00-20:00
11,Ultraviolet by Paul Pairet,Chinese,$$$,35.7,Africa,"West Josephview, RU",6528 Nguyen Mills,542.239.4553x87917,4.6,349,http://www.webb-parker.biz/,11:00-21:00
12,Maximo Bistrot,Mexican,$,4.92,Middle East,"West Jeremyburgh, LT",296 Rebecca Rue,+1-962-389-4073x03310,3.9,267,https://www.williamson.com/,16:00-20:00
13,Din Tai Fung,Chinese,$$$,44.05,North America,"Melissaton, WI",3588 Allen Port,783.204.6026x216,4.4,354,http://boyd.com/,12:00-21:00
14,Liza,Lebanese,$$,22.11,Asia,"Stuartville, PS",03947 Ashley Turnpike,(265)611-7646,3.9,524,https://www.perkins.com/,14:00-22:00
15,Test Kitchen,Caribbean,$$,15.52,Europe,"Maynardfurt, HU",929 Gibson Fork Suite 251,+1-675-704-2300x5115,4.3,501,https://www.cline.net/,14:00-20:00
16,Pizzeria Brandi,Italian,$$,25.56,Europe,"Moraleschester, PE",2868 Alejandra Canyon,001-931-984-5655x115,3.8,483,http://gonzalez-pollard.biz/,15:00-23:00
17,Il Pellicano,Italian,$$,19.11,North America,"New Jennifer, HI",376 Brewer Meadows,+1-537-296-1461,3.3,429,http://george-hawkins.com/,15:00-22:00
18,Ryugin,Japanese,$$$,37.1,South America,"East Kathleenmouth, ET",2467 Wiley Mountains,318.671.1993,4.0,338,https://www.cain.org/,16:00-20:00
19,Hakkasan,Chinese,$$,30.57,North America,"New Steven, GA",2919 Tucker Gardens,5026704392,4.1,558,https://barker.com/,11:00-22:00
20,Contramar,Mexican,$,9.75,North America,"Port Jasonborough, DE",5136 Rachel Radial,483.217.5266x7761,3.3,207,http://freeman.org/,13:00-23:00
21,Hytra,Greek,$$$,64.18,Europe,"Rossstad, TN",14585 Ricky Parks Suite 625,+1-254-620-7461x046,3.8,355,http://www.adams.info/,14:00-23:00
22,The Eight,Chinese,$$,10.78,South America,"Port Vanessaland, GM",544 Ashley Bypass Apt. 924,001-724-859-5452x22155,4.0,542,http://www.bush-bennett.biz/,12:00-20:00
23,Schloss Berg,German,$$$,74.67,North America,"Matthewchester, NE",814 Amber Neck Suite 977,670-201-3359x4690,4.4,387,https://www.griffith-richard.com/,16:00-22:00
24,Maximo Bistrot,Mexican,$,3.93,Middle East,"Katelynfurt, KG",363 Austin Springs,(225)218-8829x798,4.0,278,http://wallace.com/,13:00-20:00
25,Antica Pesa,Italian,$,7.46,North America,"New Aaron, AL",674 Walton Gardens,415.813.3789x051,3.4,232,https://perry.com/,14:00-23:00
26,Bukhara,Indian,$,13.75,North America,"Lake Zachary, WA",3459 Hughes Ranch Apt. 037,918.929.1259,3.5,210,https://www.wells-washington.com/,16:00-21:00
